solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
or-tools, 003, -076, NA, NA, 0, 0, 0.093, 0, NA, NA, 0, 0, 0.013, 0.106
chuffed, 003, -077, NA, NA, 0, 0, 0.265, 0, NA, 0, 0, 0, 0.021, 0.28600000000000003
kissat, 003, -077, 133, 0, 0, 0, 0.406, NA, 0, 0, 0, 0, 0.00, 0.406
or-tools, 003, -077, NA, NA, 0, 0, 0.097, 0, NA, NA, 0, 0, 0.012, 0.109
chuffed, 003, -078, NA, NA, 0, 0, 0.335, 0, NA, 0, 0, 0, 0.006, 0.341
kissat, 003, -078, 133, 0, 0, 0, 0.579, NA, 0, 0, 0, 0, 0.00, 0.579
or-tools, 003, -078, NA, NA, 0, 0, 0.103, 0, NA, NA, 0, 0, 0.017, 0.12
chuffed, 003, -079, NA, NA, 0, 0, 0.322, 0, NA, 0, 0, 0, 0.041, 0.363
kissat, 003, -079, 133, 0, 0, 0, 0.308, NA, 0, 0, 0, 0, 0.00, 0.308
or-tools, 003, -079, NA, NA, 0, 0, 0.107, 0, NA, NA, 0, 0, 0.014, 0.121
chuffed, 003, -080, NA, NA, 0, 0, 0.39, 0, NA, 0, 0, 0, 0.008, 0.398
kissat, 003, -080, 133, 0, 0, 0, 0.26, NA, 0, 0, 0, 0, 0.00, 0.26
or-tools, 003, -080, NA, NA, 0, 0, 0.104, 0, NA, NA, 0, 0, 0.014, 0.118
chuffed, 003, -081, NA, NA, 0, 0, 0.243, 0, NA, 0, 0, 0, 0.042, 0.285
kissat, 003, -081, 133, 0, 0, 0, 0.531, NA, 0, 0, 0, 0, 0.00, 0.531
or-tools, 003, -081, NA, NA, 0, 0, 0.099, 0, NA, NA, 0, 0, 0.015, 0.114
chuffed, 003, -082, NA, NA, 0, 0, 0.275, 0, NA, 0, 0, 0, 0.041, 0.316
kissat, 003, -082, 133, 0, 0, 0, 0.276, NA, 0, 0, 0, 0, 0.00, 0.276
or-tools, 003, -082, NA, NA, 0, 0, 0.106, 0, NA, NA, 0, 0, 0.014, 0.12
chuffed, 003, -083, NA, NA, 0, 0, 0.277, 0, NA, 0, 0, 0, 0.06, 0.337
kissat, 003, -083, 133, 0, 0, 0, 0.38, NA, 0, 0, 0, 0, 0.00, 0.38
or-tools, 003, -083, NA, NA, 0, 0, 0.108, 0, NA, NA, 0, 0, 0.015, 0.123
chuffed, 003, -084, NA, NA, 0, 0, 0.244, 0, NA, 0, 0, 0, 0.037, 0.28099999999999997
kissat, 003, -084, 133, 0, 0, 0, 0.434, NA, 0, 0, 0, 0, 0.00, 0.434
or-tools, 003, -084, NA, NA, 0, 0, 0.097, 0, NA, NA, 0, 0, 0.014, 0.111
chuffed, 003, -085, NA, NA, 0, 0, 0.321, 0, NA, 0, 0, 0, 0.012, 0.333
