solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
or-tools, 004, 0058, NA, NA, 0, 0, 0.171, 0, NA, NA, 0, 0, 0.014, 0.18500000000000003
chuffed, 004, 0059, NA, NA, 0, 0, 0.663, 0, NA, 0, 0, 0, 0.005, 0.668
kissat, 004, 0059, 39, 0, 0, 0, 0.278, NA, 0, 0, 0, 0, 0.00, 0.278
or-tools, 004, 0059, NA, NA, 0, 0, 0.18, 0, NA, NA, 0, 0, 0.013, 0.193
chuffed, 004, 0060, NA, NA, 0, 0, 0.831, 0, NA, 0, 0, 0, 0.004, 0.835
kissat, 004, 0060, 39, 0, 0, 0, 0.262, NA, 0, 0, 0, 0, 0.00, 0.262
or-tools, 004, 0060, NA, NA, 0, 0, 0.171, 0, NA, NA, 0, 0, 0.015, 0.186
chuffed, 004, 0061, NA, NA, 0, 0, 0.653, 0, NA, 0, 0, 0, 0.005, 0.658
kissat, 004, 0061, 39, 0, 0, 0, 0.301, NA, 0, 0, 0, 0, 0.00, 0.301
or-tools, 004, 0061, NA, NA, 0, 0, 0.159, 0, NA, NA, 0, 0, 0.013, 0.17200000000000001
chuffed, 004, 0062, NA, NA, 0, 0, 0.296, 0, NA, 0, 0, 0, 0.004, 0.3
kissat, 004, 0062, 39, 0, 0, 0, 0.29, NA, 0, 0, 0, 0, 0.00, 0.29
or-tools, 004, 0062, NA, NA, 0, 0, 0.163, 0, NA, NA, 0, 0, 0.011, 0.17400000000000002
chuffed, 004, 0063, NA, NA, 0, 0, 0.391, 0, NA, 0, 0, 0, 0.005, 0.396
kissat, 004, 0063, 39, 0, 0, 0, 0.236, NA, 0, 0, 0, 0, 0.00, 0.236
or-tools, 004, 0063, NA, NA, 0, 0, 0.179, 0, NA, NA, 0, 0, 0.013, 0.192
chuffed, 004, 0064, NA, NA, 0, 0, 0.403, 0, NA, 0, 0, 0, 0.006, 0.40900000000000003
kissat, 004, 0064, 39, 0, 0, 0, 0.285, NA, 0, 0, 0, 0, 0.00, 0.285
or-tools, 004, 0064, NA, NA, 0, 0, 0.184, 0, NA, NA, 0, 0, 0.013, 0.197
chuffed, 004, 0065, NA, NA, 0, 0, 0.422, 0, NA, 0, 0, 0, 0.009, 0.431
