solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
chuffed, 003, -064, NA, NA, 0, 0, 0.227, 0, NA, 0, 0, 0, 0.007, 0.234
kissat, 003, -064, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -064, NA, NA, 0, 0, 0.08, 0, NA, NA, 0, 0, 0.015, 0.095
chuffed, 003, -065, NA, NA, 0, 0, 0.233, 0, NA, 0, 0, 0, 0.008, 0.24100000000000002
kissat, 003, -065, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -065, NA, NA, 0, 0, 0.088, 0, NA, NA, 0, 0, 0.013, 0.10099999999999999
chuffed, 003, -066, NA, NA, 0, 0, 0.189, 0, NA, 0, 0, 0, 0.012, 0.201
kissat, 003, -066, 133, 0, 0, 0, 0.082, NA, 0, 0, 0, 0, 0.00, 0.082
or-tools, 003, -066, NA, NA, 0, 0, 0.082, 0, NA, NA, 0, 0, 0.014, 0.096
chuffed, 003, -067, NA, NA, 0, 0, 0.216, 0, NA, 0, 0, 0, 0.008, 0.224
kissat, 003, -067, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -067, NA, NA, 0, 0, 0.085, 0, NA, NA, 0, 0, 0.016, 0.101
chuffed, 003, -068, NA, NA, 0, 0, 0.219, 0, NA, 0, 0, 0, 0.011, 0.23
kissat, 003, -068, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -068, NA, NA, 0, 0, 0.087, 0, NA, NA, 0, 0, 0.013, 0.09999999999999999
chuffed, 003, -069, NA, NA, 0, 0, 0.197, 0, NA, 0, 0, 0, 0.01, 0.20700000000000002
kissat, 003, -069, 133, 0, 0, 0, 0.083, NA, 0, 0, 0, 0, 0.00, 0.083
