solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
or-tools, 003, -037, NA, NA, 0, 0, 0.085, 0, NA, NA, 0, 0, 0.014, 0.099
chuffed, 003, -038, NA, NA, 0, 0, 0.073, 0, NA, 0, 0, 0, 0.004, 0.077
kissat, 003, -038, 133, 0, 0, 0, 0.088, NA, 0, 0, 0, 0, 0.00, 0.088
or-tools, 003, -038, NA, NA, 0, 0, 0.091, 0, NA, NA, 0, 0, 0.01, 0.10099999999999999
chuffed, 003, -039, NA, NA, 0, 0, 0.076, 0, NA, 0, 0, 0, 0.003, 0.079
kissat, 003, -039, 133, 0, 0, 0, 0.09, NA, 0, 0, 0, 0, 0.00, 0.09
or-tools, 003, -039, NA, NA, 0, 0, 0.093, 0, NA, NA, 0, 0, 0.01, 0.103
chuffed, 003, -040, NA, NA, 0, 0, 0.08, 0, NA, 0, 0, 0, 0.003, 0.083
kissat, 003, -040, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -040, NA, NA, 0, 0, 0.09, 0, NA, NA, 0, 0, 0.013, 0.103
chuffed, 003, -041, NA, NA, 0, 0, 0.077, 0, NA, 0, 0, 0, 0.003, 0.08
kissat, 003, -041, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -041, NA, NA, 0, 0, 0.1, 0, NA, NA, 0, 0, 0.013, 0.113
chuffed, 003, -042, NA, NA, 0, 0, 0.083, 0, NA, 0, 0, 0, 0.003, 0.08600000000000001
kissat, 003, -042, 133, 0, 0, 0, 0.088, NA, 0, 0, 0, 0, 0.00, 0.088
or-tools, 003, -042, NA, NA, 0, 0, 0.09, 0, NA, NA, 0, 0, 0.014, 0.104
chuffed, 003, -043, NA, NA, 0, 0, 0.081, 0, NA, 0, 0, 0, 0.004, 0.085
kissat, 003, -043, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -043, NA, NA, 0, 0, 0.095, 0, NA, NA, 0, 0, 0.014, 0.109
chuffed, 003, -044, NA, NA, 0, 0, 0.079, 0, NA, 0, 0, 0, 0.003, 0.082
kissat, 003, -044, 133, 0, 0, 0, 0.081, NA, 0, 0, 0, 0, 0.00, 0.081
or-tools, 003, -044, NA, NA, 0, 0, 0.099, 0, NA, NA, 0, 0, 0.014, 0.113
chuffed, 003, -045, NA, NA, 0, 0, 0.082, 0, NA, 0, 0, 0, 0.004, 0.08600000000000001
kissat, 003, -045, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -045, NA, NA, 0, 0, 0.098, 0, NA, NA, 0, 0, 0.016, 0.114
chuffed, 003, -046, NA, NA, 0, 0, 0.095, 0, NA, 0, 0, 0, 0.003, 0.098
kissat, 003, -046, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -046, NA, NA, 0, 0, 0.096, 0, NA, NA, 0, 0, 0.015, 0.111
chuffed, 003, -047, NA, NA, 0, 0, 0.082, 0, NA, 0, 0, 0, 0.004, 0.08600000000000001
kissat, 003, -047, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -047, NA, NA, 0, 0, 0.1, 0, NA, NA, 0, 0, 0.013, 0.113
chuffed, 003, -048, NA, NA, 0, 0, 0.085, 0, NA, 0, 0, 0, 0.003, 0.08800000000000001
kissat, 003, -048, 133, 0, 0, 0, 0.095, NA, 0, 0, 0, 0, 0.00, 0.095
or-tools, 003, -048, NA, NA, 0, 0, 0.096, 0, NA, NA, 0, 0, 0.014, 0.11
chuffed, 003, -049, NA, NA, 0, 0, 0.086, 0, NA, 0, 0, 0, 0.003, 0.089
